Account Length (Weeks),Messages,Day Mins,Eve Mins,Night Mins,Intl Mins,CustServ Calls,Int'l Plan,Message Plan,Day Calls,Day Charge,Eve Calls,Eve Charge,Night Calls,Night Charge,Intl Calls,Intl Charge,State,Area Code,Phone,Churn
128,25,265.1,197.4,244.7,10,1,0,1,110,45.07,99,16.78,91,11.01,3,2.7,KS,415,382-0567,0
107,26,161.6,195.5,254.4,13.7,1,0,1,123,27.47,103,16.62,103,11.45,3,3.7,OH,415,371-2726,0
137,0,243.4,121.2,162.6,12.2,0,0,0,114,41.38,110,10.3,104,7.32,5,3.29,NJ,415,358-5979,0
84,0,299.4,61.9,196.9,6.6,2,1,0,71,50.9,88,5.26,89,8.86,7,1.78,OH,408,375-8032,0
75,0,166.7,148.3,186.9,10.1,3,1,0,113,28.34,122,12.61,121,8.41,3,2.73,OK,415,330-8025,0
118,0,223.4,220.6,203.9,6.3,0,1,0,98,37.98,101,18.75,118,9.18,6,1.7,AL,510,391-9836,0
121,24,218.2,348.5,212.6,7.5,3,0,1,88,37.09,108,29.62,118,9.57,7,2.03,MA,510,355-4949,0
147,0,157,103.1,211.8,7.1,0,1,0,79,26.69,94,8.76,96,9.53,6,1.92,MO,415,329-5084,0
117,0,184.5,351.6,215.8,8.7,1,0,0,97,31.37,80,29.89,90,9.71,4,2.35,LA,408,335-1712,0
141,37,258.6,222,326.4,11.2,0,1,1,84,43.96,111,18.87,97,14.69,5,3.02,WV,415,330-8599,0
65,0,129.1,228.5,208.8,12.7,4,0,0,137,21.95,83,19.42,111,9.4,6,3.43,IN,415,329-7767,1
74,0,187.7,163.4,196,9.1,0,0,0,127,31.91,148,13.89,94,8.82,5,2.46,RI,415,344-3875,0
168,0,128.8,104.9,141.1,11.2,1,0,0,96,21.9,71,8.92,128,6.35,2,3.02,IA,408,363-3397,0
95,0,156.6,247.6,192.3,12.3,3,0,0,88,26.62,75,21.05,115,8.65,5,3.32,MT,510,394-8184,0
62,0,120.7,307.2,203,13.1,4,0,0,70,20.52,76,26.11,99,9.14,6,3.54,IA,415,366-7215,0
161,0,332.9,317.8,160.6,5.4,4,0,0,67,56.59,97,27.01,128,7.23,9,1.46,NY,415,351-7022,1
85,27,196.4,280.9,89.3,13.8,1,0,1,139,33.39,90,23.88,75,4.02,4,3.73,ID,408,350-1094,0
93,0,190.7,218.2,129.6,8.1,3,0,0,114,32.42,111,18.55,121,5.83,3,2.19,VT,510,386-6948,0
76,33,189.7,212.8,165.7,10,1,0,1,66,32.25,65,18.09,108,7.46,5,2.7,VA,510,356-5832,0
73,0,224.4,159.5,192.8,13,1,0,0,90,38.15,88,13.56,74,8.68,2,3.51,TX,415,373-9270,0
147,0,155.1,239.7,208.8,10.6,0,0,0,117,26.37,93,20.37,133,9.4,4,2.86,FL,415,396-0036,0
77,0,62.4,169.9,209.6,5.7,5,0,0,89,10.61,121,14.44,64,9.43,6,1.54,CO,408,393-9630,1
130,0,183,72.9,181.8,9.5,0,0,0,112,31.11,99,6.2,78,8.18,19,2.57,AZ,415,358-9362,0
111,0,110.4,137.3,189.6,7.7,2,0,0,103,18.77,102,11.67,105,8.53,6,2.08,SC,415,350-9007,0
132,0,81.1,245.2,237,10.3,0,0,0,86,13.79,72,20.84,115,10.67,2,2.78,VA,510,343-1630,0
174,0,124.3,277.1,250.7,15.5,3,0,0,76,21.13,112,23.55,115,11.28,5,4.19,NE,415,331-3048,0
57,39,213,191.1,182.7,9.5,0,0,1,115,36.21,112,16.24,115,8.22,3,2.57,WY,408,357-3743,0
54,0,134.3,155.5,102.1,14.7,3,0,0,73,22.83,100,13.22,68,4.59,4,3.97,MT,408,418-0605,0
20,0,190,258.2,181.5,6.3,0,0,0,109,32.3,84,21.95,102,8.17,6,1.7,MO,415,353-7856,0
49,0,119.3,215.1,178.7,11.1,1,0,0,117,20.28,109,18.28,90,8.04,1,3,HI,510,410-0866,0
142,0,84.8,136.7,250.5,14.2,2,0,0,95,14.42,63,11.62,148,11.27,6,3.83,IL,415,416-0414,0
75,0,226.1,201.5,246.2,10.3,1,0,0,105,38.44,107,17.13,98,11.08,5,2.78,NH,510,370-3094,0
172,0,212,31.2,293.3,12.6,3,0,0,121,36.04,115,2.65,78,13.2,10,3.4,LA,408,383-3261,0
12,0,249.6,252.4,280.2,11.8,1,0,0,118,42.43,119,21.45,90,12.61,3,3.19,AZ,408,360-0677,1
57,25,176.8,195,213.5,8.3,0,0,1,94,30.06,75,16.58,116,9.61,4,2.24,OK,408,395-6109,0
72,37,220,217.3,152.8,14.7,3,0,1,80,37.4,102,18.47,71,6.88,6,3.97,GA,415,362-4629,0
36,30,146.3,162.5,129.3,14.5,0,0,1,128,24.87,80,13.81,109,5.82,6,3.92,AK,408,341-7997,0
78,0,130.8,223.7,227.8,10,1,0,0,64,22.24,116,19.01,108,10.25,5,2.7,MA,415,353-2847,0
136,33,203.9,187.6,101.7,10.5,3,1,1,106,34.66,99,15.95,107,4.58,6,2.84,AK,415,402-4213,0
149,0,140.4,271.8,188.3,11.1,1,0,0,94,23.87,92,23.1,108,8.47,9,3,NJ,408,332-6215,0
98,0,126.3,166.8,187.8,9.4,3,0,0,102,21.47,85,14.18,135,8.45,2,2.54,GA,408,372-1115,0
135,41,173.1,203.9,122.2,14.6,0,1,1,85,29.43,107,17.33,78,5.5,15,3.94,MD,408,383-3566,1
